week,eliminated_baseline,eliminated_minus5,eliminated_plus5,same_as_baseline
1,David Hasselhoff,David Hasselhoff,David Hasselhoff,True
2,Michael Bolton,Michael Bolton,Michael Bolton,True
3,Margaret Cho,Margaret Cho,Margaret Cho,True
4,The Situation,The Situation,The Situation,True
5,Florence Henderson,Florence Henderson,Florence Henderson,True
6,Audrina Patridge,Audrina Patridge,Audrina Patridge,True
7,Rick Fox,Rick Fox,Rick Fox,True
8,Kurt Warner,Kurt Warner,Kurt Warner,True
9,Brandy,Brandy,Brandy,True
